개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
정선읍 공설운동장,정선읍 공설운동장,다목적경기장,공휴일,09:00,18:00,09:00,18:00,N,,,,,1000,,,방문예약+전화예약,,강원도 정선군 정선읍 봉양1길 3-33,강원도 정선군 정선읍 봉양리 104,강원도 정선군청,정선읍행정복지센터,033-560-2768,,37.37764271,128.6655083,2023-03-13,4290000,강원도 정선군
정선읍 행정복지센터 1층 회의실,정선읍 행정복지센터,회의실,공휴일,09:00,18:00,09:00,18:00,N,,,,,15,40,,방문예약+전화예약,,강원도 정선군 정선읍 정선로 1331,강원도 정선군 정선읍 봉양리 210-1,강원도 정선군청,정선읍행정복지센터,033-560-2605,,37.37976844,128.6617001,2023-03-13,4290000,강원도 정선군
정선읍 행정복지센터 2층 회의실,정선읍 행정복지센터,회의실,공휴일,09:00,18:00,09:00,18:00,N,,,,,40,150,,방문예약+전화예약,,강원도 정선군 정선읍 정선로 1331,강원도 정선군 정선읍 봉양리 210-1,강원도 정선군청,정선읍행정복지센터,033-560-2605,,37.37976844,128.6617001,2023-03-13,4290000,강원도 정선군
남면 행정복지센터 별관2층 강당,남면 행정복지센터,강당,공휴일,09:00,18:00,09:00,18:00,N,,,,,100,,,방문예약+전화예약,,강원도 정선군 남면 칠현로 80,강원도 정선군 남면 문곡리 103-1,강원도 정선군청,남면행정복지센터,033-560-2796,,37.26853429,128.7405328,2023-03-13,4290000,강원도 정선군
남면 행정복지센터 별관1층 강당,남면 행정복지센터,강당,공휴일,09:00,18:00,09:00,18:00,N,,,,,100,,,방문예약+전화예약,,강원도 정선군 남면 칠현로 80,강원도 정선군 남면 문곡리 103-1,강원도 정선군청,남면행정복지센터,033-560-2796,,37.26853429,128.7405328,2023-03-13,4290000,강원도 정선군
남면 행정복지센터 주차장,남면 행정복지센터,기타,연중무휴,09:00,18:00,09:00,18:00,N,,,,,20,,,방문예약+전화예약,,강원도 정선군 남면 칠현로 80,강원도 정선군 남면 문곡리 103-1,강원도 정선군청,남면행정복지센터,033-560-2796,,37.26853429,128.7405328,2023-03-13,4290000,강원도 정선군
남면 행정복지센터 본관2층 회의실,남면 행정복지센터,회의실,공휴일,09:00,18:00,09:00,18:00,N,,,,,20,,,방문예약+전화예약,,강원도 정선군 남면 칠현로 80,강원도 정선군 남면 문곡리 103-1,강원도 정선군청,남면행정복지센터,033-560-2796,,37.26853429,128.7405328,2023-03-13,4290000,강원도 정선군
임계면 행정복지센터 2층 회의실,임계면 행정복지센터,회의실,공휴일,09:00,18:00,09:00,18:00,N,,,,,50,66,,방문예약+전화예약,,강원도 정선군 임계면 서동로 4575,강원도 정선군 임계면 송계리 733-1,강원도 정선군청,임계면행정복지센터,033-560-2686,,37.49500464,128.8521098,2023-03-13,4290000,강원도 정선군
임계면 종합복지회관 1층 강당 및 연회장,임계면 종합복지회관,강당,연중무휴,09:00,18:00,09:00,18:00,Y,,35000,,,300,308,,방문예약+전화예약,,강원도 정선군 임계면 서동로 4584,강원도 정선군 임계면 송계리 782,강원도 정선군청,임계면행정복지센터,033-560-2686,,37.49380515,128.8525798,2023-03-13,4290000,강원도 정선군
임계면 종합복지회관 2층 강당 및 예식장,임계면 종합복지회관,강당,연중무휴,09:00,18:00,09:00,18:00,Y,,50000,,,200,400,,방문예약+전화예약,,강원도 정선군 임계면 서동로 4584,강원도 정선군 임계면 송계리 782,강원도 정선군청,임계면행정복지센터,033-560-2686,,37.49380515,128.8525798,2023-03-13,4290000,강원도 정선군
임계면 장찬성 궁도장 다목적경기장,임계면 장찬성 궁도장,기타,연중무휴,09:00,18:00,09:00,18:00,N,,,,,100,256,,방문예약+전화예약,,강원도 정선군 임계면 장찬동길 86-1,강원도 정선군 임계면 송계리 343,강원도 정선군청,임계면행정복지센터,033-560-2785,,37.4915765,128.8639648,2023-03-13,4290000,강원도 정선군
나운2동행정복지센터본관2층(헬스장),나운2동행정복지센터,체육관,토+일,08:30,18:00,00:00,00:00,Y,3,21000,,,20,,,방문,,전라북도 군산시 나운3길 16,전라북도 군산시 나운동 376-1,전라북도 군산시청,나운2동,063-454-7714,,35.964859,126.699609,2023-05-15,4670000,전라북도 군산시
나운2동행정복지센터본관2층,나운2동행정복지센터,강당,토+일,09:00,16:30,00:00,00:00,Y,3,33000,,,25,,,방문,,전라북도 군산시 나운3길 16,전라북도 군산시 나운동 376-1,전라북도 군산시청,나운2동,063-454-7714,,35.964859,126.699609,2023-05-15,4670000,전라북도 군산시
나운2동행정복지센터본관3층,나운2동행정복지센터,강당,토+일,10:00,17:00,00:00,00:00,Y,3,33000,,,60,,,방문,,전라북도 군산시 나운3길 16,전라북도 군산시 나운동 376-1,전라북도 군산시청,나운2동,063-454-7714,,35.964859,126.699609,2023-05-15,4670000,전라북도 군산시
나운2동행정복지센터본관3층,나운2동행정복지센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,35,,,방문,,전라북도 군산시 나운3길 16,전라북도 군산시 나운동 376-1,전라북도 군산시청,나운2동,063-454-7714,,35.964859,126.699609,2023-05-15,4670000,전라북도 군산시
경암동주민센터본관2층,경암동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,60,,,방문,,전라북도 군산시 경암3길 56(경암동),전라북도 군산시 경암동 636-37,전라북도 군산시청,경암동,063-454-7552,,35.979468,126.729873,2023-05-15,4670000,전라북도 군산시
개정면사무소본관2층,개정면사무소,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,100,,,방문,,전라북도 군산시 개정면 바르메길 42,전라북도 군산시 개정면 발산리 86-9,전라북도 군산시청,개정면,063-454-7194,,35.958338,126.796845,2023-05-15,4670000,전라북도 군산시
개정면사무소본관2층(헬스장),개정면사무소,체육관,토+일,09:00,18:00,00:00,00:00,N,,,,,10,,,방문,,전라북도 군산시 개정면 바르메길 42,전라북도 군산시 개정면 발산리 86-9,전라북도 군산시청,개정면,063-454-7194,,35.958338,126.796845,2023-05-15,4670000,전라북도 군산시
옥구읍사무소본관 3층,옥구읍사무소,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,50,,,방문,,전라북도 군산시 옥구읍 옥구로 6,전라북도 군산시 옥구읍 선제리 98-11,전라북도 군산시청,옥구읍,063-454-7014,,35.922887,126.685392,2023-05-15,4670000,전라북도 군산시
나포면사무소본관2층,나포면사무소,강당,토+일,09:00,18:00,00:00,00:00,N,,,,,60,,,방문,,전라북도 군산시 나포면 나포초교길 9,전라북도 군산시 나포면 옥곤리 452,전라북도 군산시청,나포면,063-454-7254,,36.030566,126.831687,2023-05-15,4670000,전라북도 군산시
거제시종합운동장,거제시종합운동장,다목적경기장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,3,120000,1,36000,15000,45261,음향시설+조명시설(조명탑4기)+전광판+관람석6+566석,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_01.html,경상남도 거제시 계룡로 11길 26,경상남도 거제시 고현동 564,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.88293254,128.6184465,2023-05-15,B552833,거제해양관광개발공사
거제시체육관,거제시체육관,다목적경기장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,8,50000,1,15000,3000,3637,음향시설+냉난방시설 8기+조명시설(1KW 75개+500W 62개)+관람석1060석,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_08.html,경상남도 거제시 계룡로 11길 35,경상남도 거제시 고현동 910,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.88273388,128.6163077,2023-05-15,B552833,거제해양관광개발공사
거제시탁구장,거제시탁구장,기타,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,8,50000,1,15000,100,672,탁구대 10개,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_22.html,경상남도 거제시 계룡로 11길 26,경상남도 거제시 고현동 564,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.88293254,128.6184465,2023-05-15,B552833,거제해양관광개발공사
거제시롤러경기장,거제시롤러경기장,기타,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,8,30000,1,9000,1000,9150,음향시설+조명시설(조명탑4기)+관람석272석,방문+전화,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_23.html,경상남도 거제시 고현천로 181,경상남도 거제시 상동동 369,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.87921237,128.6332476,2023-05-15,B552833,거제해양관광개발공사
거제시종합운동장 고현보조운동장,거제시종합운동장,다목적경기장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,3,80000,1,24000,1000,19264,조명시설(조명탑4기),인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_04.html,경상남도 거제시 계룡로 11길 35,경상남도 거제시 고현동 910,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.88273388,128.6163077,2023-05-15,B552833,거제해양관광개발공사
거제시종합운동장 고현인공암장,거제시종합운동장,기타,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,2,20000,1,6000,20,44,조명시설(조명탑1기),인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_13.html,경상남도 거제시 계룡로 11길 35,경상남도 거제시 고현동 910,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.88273388,128.6163077,2023-05-15,B552833,거제해양관광개발공사
아주운동장,아주운동장,다목적경기장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,3,80000,1,24000,8000,38741,음향시설+조명시설(조명탑4기)+전광판,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_05.html,경상남도 거제시 아주로 3길 55-1,경상남도 거제시 아주동 295-30,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.8634862,128.6894943,2023-05-15,B552833,거제해양관광개발공사
둔덕가족생활체육공원,둔덕가족생활체육공원,다목적경기장,1월1일+설날연휴+추석연휴,09:00,18:00,09:00,18:00,Y,3,80000,1,24000,10000,26197,운동장 1면+테니스장 2면+관리동,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_21.html,경상남도 거제시 둔덕면 거제남서로 4557,경상남도 거제시 둔덕면 하둔리 632-1,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.83433974,128.5041019,2023-05-15,B552833,거제해양관광개발공사
아주풋살경기장,아주풋살경기장,풋살경기장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,2,20000,1,6000,50,5480,조명시설(조명탑4기),인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_10.html,경상남도 거제시 아주로 3길 55-1,경상남도 거제시 아주동 295-30,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.8634862,128.6894943,2023-05-15,B552833,거제해양관광개발공사
송정체육시설 송정그라운드골프장(풋살겸용),송정체육시설,풋살경기장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,2,20000,1,6000,50,1959,조명등기구 set 6조,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_16.html,경상남도 거제시 연초면 송정1길 49,경상남도 거제시 연초면 송정리 324,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.91342869,128.6805067,2023-05-15,B552833,거제해양관광개발공사
송정체육시설 송정족구장,송정체육시설,족구장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,2,10000,1,3000,50,2322,조명등기구 set 8조,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_15.html,경상남도 거제시 연초면 송정1길 49,경상남도 거제시 연초면 송정리 324,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.91342869,128.6805067,2023-05-15,B552833,거제해양관광개발공사
송정체육시설 송정테니스장,송정체육시설,테니스장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,2,10000,1,3000,50,2322,조명등기구 set 8조,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_14.html,경상남도 거제시 연초면 송정1길 49,경상남도 거제시 연초면 송정리 325,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.91342869,128.6805067,2023-05-15,B552833,거제해양관광개발공사
거제시립테니스장,거제시립테니스장,테니스장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,2,10000,1,3000,200,7608,조명시설(조명탑6기),인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_17.html,경상남도 거제시 계룡로 11길 27,경상남도 거제시 고현동 908,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.8825434,128.6176491,2023-05-15,B552833,거제해양관광개발공사
옥포테니스장,옥포테니스장,테니스장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,2,10000,1,3000,100,3175,조명시설(조명탑4기),인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_19.html,경상남도 거제시 옥포로 296-8,경상남도 거제시 옥포동 1285,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.9000401,128.6868432,2023-05-15,B552833,거제해양관광개발공사
양정테니스장,양정테니스장,테니스장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,2,10000,1,3000,80,1172,,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_18.html,경상남도 거제시 중곡로 2길 12-1,경상남도 거제시 고현동 1084-13,거제해양관광개발공사,공공시설팀(체육시설),055-639-8130,https://www.geojesp.co.kr,34.89339967,128.6315767,2023-05-15,B552833,거제해양관광개발공사
거제스포츠파크 국민체육센터,거제스포츠파크,다목적경기장,1월1일+설날연휴+추석연휴,05:00,23:00,05:00,23:00,Y,8,50000,1,15000,1000,2357,음향장비 1대+영상장비 1대+관람석 525석,인터넷,https://www.gmdc.co.kr/_geojesp/_sub02/sub02_09.html,경상남도 거제시 거제면 거제남서로 3485-17,경상남도 거제시 거제면 서정리 808-8,거제해양관광개발공사,공공시설팀(스포츠파크),055-639-8130,https://www.geojesp.co.kr,34.85185549,128.5815351,2023-05-15,B552833,거제해양관광개발공사
군산시농업기술센터2층,군산시농업기술센터,강당,토+일,09:00,18:00,00:00,00:00,N,,,,,100,,,방문,,전라북도 군산시 개정면 운회길 32,전라북도 군산시 개정면 운회리 633-7,전라북도 군산시청,농업축산과,063-454-2833,,35.960468,126.781958,2023-05-15,4670000,전라북도 군산시
군산시농업인회관2층,군산시농업인회관,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,20,,,방문,,전라북도 군산시 개정면 운회길 32,전라북도 군산시 개정면 운회리 633-7,전라북도 군산시청,농업축산과,063-454-2837,,35.960468,126.781958,2023-05-15,4670000,전라북도 군산시
군산시농업인회관2층,군산시농업인회관,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,7,,,방문,,전라북도 군산시 개정면 운회길 32,전라북도 군산시 개정면 운회리 633-7,전라북도 군산시청,농업축산과,063-454-2837,,35.960468,126.781958,2023-05-15,4670000,전라북도 군산시
군산시농업인회관1층,군산시농업인회관,강당,토+일,09:00,18:00,00:00,00:00,N,,,,,150,,,방문,,전라북도 군산시 개정면 운회길 32,전라북도 군산시 개정면 운회리 633-7,전라북도 군산시청,농업축산과,063-454-2837,,35.960468,126.781958,2023-05-15,4670000,전라북도 군산시
군산시농업인회관3층,군산시농업인회관,강의실,토+일,09:00,18:00,00:00,00:00,N,,,,,50,,,방문,,전라북도 군산시 개정면 운회길 32,전라북도 군산시 개정면 운회리 633-7,전라북도 군산시청,농업축산과,063-454-2837,,35.960468,126.781958,2023-05-15,4670000,전라북도 군산시
군산시농업인회관3층,군산시농업인회관,체육관,토+일,09:00,18:00,00:00,00:00,N,,,,,10,,,방문,,전라북도 군산시 개정면 운회길 32,전라북도 군산시 개정면 운회리 633-7,전라북도 군산시청,농업축산과,063-454-2837,,35.960468,126.781958,2023-05-15,4670000,전라북도 군산시
"군산예술의전당본관2,3층",군산예술의전당,강당,월,09:00,22:00,09:00,22:00,Y,24,1000000,,,1200,,,방문,,전라북도 군산시 백토로 203(지곡동),전라북도 군산시 지곡동 278,전라북도 군산시청,예술의전당관리과,063-454-5536,,35.960785,126.707036,2023-05-15,4670000,전라북도 군산시
"군산예술의전당본관2,3층",군산예술의전당,강당,월,09:00,22:00,09:00,22:00,Y,24,500000,,,450,,,방문,,전라북도 군산시 백토로 203(지곡동),전라북도 군산시 지곡동 278,전라북도 군산시청,예술의전당관리과,063-454-5536,,35.960785,126.707036,2023-05-15,4670000,전라북도 군산시
군산예술의전당본관1층(1전시실),군산예술의전당,전시실,연중무휴,09:00,22:00,09:00,21:00,Y,24,50000,,,100,,,방문,,전라북도 군산시 백토로 203(지곡동),전라북도 군산시 지곡동 278,전라북도 군산시청,예술의전당관리과,063-454-5536,,35.960785,126.707036,2023-05-15,4670000,전라북도 군산시
군산예술의전당본관3층(2전시실),군산예술의전당,전시실,연중무휴,09:00,22:00,09:00,21:00,Y,24,26000,,,100,,,방문,,전라북도 군산시 백토로 203(지곡동),전라북도 군산시 지곡동 278,전라북도 군산시청,예술의전당관리과,063-454-5536,,35.960785,126.707036,2023-05-15,4670000,전라북도 군산시
군산예술의전당본관3층(3전시실),군산예술의전당,전시실,연중무휴,09:00,22:00,09:00,21:00,Y,24,26000,,,100,,,방문,,전라북도 군산시 백토로 203(지곡동),전라북도 군산시 지곡동 278,전라북도 군산시청,예술의전당관리과,063-454-5536,,35.960785,126.707036,2023-05-15,4670000,전라북도 군산시
월명동주민센터2층,월명동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,40,,,방문,,전라북도 군산시 구영6길 51(월명동),전라북도 군산시 월명동 2-1,전라북도 군산시청,월명동,063-454-7372,,35.986437,126.708975,2023-05-15,4670000,전라북도 군산시
월명동주민센터2층,월명동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,30,,,방문,,전라북도 군산시 구영6길 51(월명동),전라북도 군산시 월명동 2-1,전라북도 군산시청,월명동,063-454-7372,,35.986437,126.708975,2023-05-15,4670000,전라북도 군산시
월명동주민센터2층,월명동주민센터,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,50,,,방문,,전라북도 군산시 구영6길 51(월명동),전라북도 군산시 월명동 2-1,전라북도 군산시청,월명동,063-454-7372,,35.986437,126.708975,2023-05-15,4670000,전라북도 군산시
월명동주민센터3층,월명동주민센터,강당,토+일,09:00,18:00,00:00,00:00,N,,,,,80,,,방문,,전라북도 군산시 구영6길 51(월명동),전라북도 군산시 월명동 2-1,전라북도 군산시청,월명동,063-454-7372,,35.986437,126.708975,2023-05-15,4670000,전라북도 군산시
근대역사박물관본관2층,근대역사박물관,회의실,연중무휴,09:00,18:00,09:00,18:00,N,,,,,40,,,방문,,전라북도 군산시 해망로 240,전라북도 군산시 장미동 1-67,전라북도 군산시청,박물관관리과,063-454-7873,,35.990886,126.711953,2023-05-15,4670000,전라북도 군산시
장미공연장1층,장미공연장,강당,연중무휴,09:00,18:00,09:00,18:00,N,,,,,40,,,방문,,전라북도 군산시 내항1길 57,전라북도 군산시 장미동 17-2,전라북도 군산시청,박물관관리과,063-454-7873,,35.990112,126.712946,2023-05-15,4670000,전라북도 군산시
대야면사무소2층,대야면사무소,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,30,,,방문,,전라북도 군산시 대야면 석화로 7,전라북도 군산시 대야면 지경리 731-6,전라북도 군산시청,대야면,063-454-7164,,35.94647524,126.8111992,2023-05-15,4670000,전라북도 군산시
대야면사무소3층,대야면사무소,강당,토+일,09:00,18:00,00:00,00:00,N,,,,,100,,,방문,,전라북도 군산시 대야면 석화로 7,전라북도 군산시 대야면 지경리 731-6,전라북도 군산시청,대야면,063-454-7164,,35.94647524,126.8111992,2023-05-15,4670000,전라북도 군산시
나포면사무소본관1층,나포면사무소,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,15,,,방문,,전라북도 군산시 나포면 나포초교길 9,전라북도 군산시 나포면 옥곤리 452,전라북도 군산시청,나포면,063-454-7254,,36.03056493,126.8316879,2023-05-15,4670000,전라북도 군산시
나포면사무소본관2층,나포면사무소,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,25,,,방문,,전라북도 군산시 나포면 나포초교길 9,전라북도 군산시 나포면 옥곤리 452,전라북도 군산시청,나포면,063-454-7254,,36.030566,126.831687,2023-05-15,4670000,전라북도 군산시
나포면사무소본관2층,나포면사무소,회의실,토+일,09:00,18:00,00:00,00:00,N,,,,,14,,,방문,,전라북도 군산시 나포면 나포초교길 9,전라북도 군산시 나포면 옥곤리 452,전라북도 군산시청,나포면,063-454-7254,,36.030566,126.831687,2023-05-15,4670000,전라북도 군산시
부평4동 행정복지센터 4층 프로그램실 3,부평4동 행정복지센터,강의실,토+일+공휴일,10:00,18:00,00:00,00:00,Y,4,기본 4시간40000원,1,10000,25,112.73,프로젝터+음향기기+마이크,,https://www.icbp.go.kr/dong/sub/institution.jsp?dong=bupyeong4,인천광역시 부평구 주부토로 65,인천광역시 부평구 부평동 434-3,부평4동 행정복지센터,주민자치센터 담당,032-509-7836,https://www.icbp.go.kr/dong/index.jsp?dong=bupyeong4,37.50086801,126.724949,2023-05-01,3540000,인천광역시 부평구
부평4동 행정복지센터 4층 프로그램실 2,부평4동 행정복지센터,강의실,토+일+공휴일,10:00,18:00,00:00,00:00,Y,4,기본 4시간40000원,1,10000,25,59.64,프로젝터+음향기기+마이크,방문+공문제출,https://www.icbp.go.kr/dong/sub/institution.jsp?dong=bupyeong4,인천광역시 부평구 주부토로 65,인천광역시 부평구 부평동 434-3,부평4동 행정복지센터,주민자치센터 담당,032-509-7836,https://www.icbp.go.kr/dong/index.jsp?dong=bupyeong4,37.50086801,126.724949,2023-05-01,3540000,인천광역시 부평구
부평4동 행정복지센터 4층 프로그램실 1,부평4동 행정복지센터,강의실,토+일+공휴일,10:00,18:00,00:00,00:00,Y,4,기본 4시간40000원,1,10000,25,68.16,프로젝터+음향기기+마이크,방문+공문제출,https://www.icbp.go.kr/dong/sub/institution.jsp?dong=bupyeong4,인천광역시 부평구 주부토로 65,인천광역시 부평구 부평동 434-3,부평4동 행정복지센터,주민자치센터 담당,032-509-7836,https://www.icbp.go.kr/dong/index.jsp?dong=bupyeong4,37.50086801,126.724949,2023-05-01,3540000,인천광역시 부평구
부평4동 행정복지센터 3층 다목적실,부평4동 행정복지센터,강의실+회의장,토+일+공휴일,10:00,18:00,00:00,00:00,Y,4,기본 4시간40000원,1,10000,100,260.7,프로젝터+음향기기+마이크,방문+공문제출,https://www.icbp.go.kr/dong/sub/institution.jsp?dong=bupyeong4,인천광역시 부평구 주부토로 65,인천광역시 부평구 부평동 434-3,부평4동 행정복지센터,주민자치센터 담당,032-509-7836,https://www.icbp.go.kr/dong/index.jsp?dong=bupyeong4,37.50086801,126.724949,2023-05-01,3540000,인천광역시 부평구
갈산2동 행정복지센터 2층 갈산밀알도서관,갈산2동 행정복지센터,기타,토+일+공휴일,10:00,16:00,00:00,00:00,N,,,,,30,75.03,작은도서관,방문+선착순,,인천광역시 부평구 주부토로 173,인천광역시 부평구 갈산동 365-1,갈산2동 행정복지센터,갈산2동 행정복지센터,032-509-8627,https://www.icbp.go.kr/dong/index.jsp?dong=galsan2,37.51074234,126.7257122,2023-05-01,3540000,인천광역시 부평구
갈산1동행정복지센터 2층 회의실,갈산1동 행정복지센터,회의실,토+일+공휴일,09:00,17:00,00:00,00:00,N,,,,,50,135,빔프로젝터+책상 16개+의자 28개+화이트보드+유무선마이크,방문,https://www.icbp.go.kr/dong/sub/institution.jsp?dong=galsan1,인천광역시 부평구 주부토로 254,인천광역시 부평구 갈산동 74-19,갈산1동 행정복지센터,갈산1동,032-509-8423,www.icbp.go.kr,37.517596,126.727137,2023-05-01,3540000,인천광역시 부평구
부평5동 행정복지센터 2층 동아리방,부평5동 행정복지센터,기타,토+일+공휴일,09:00,18:00,00:00,00:00,Y,4,50000원,1,10000,16,24,책상 8개+의자 16개+화이트보드,방문,https://www.icbp.go.kr/dong/sub/institution.jsp?dong=bupyeong5,인천광역시 부평구 부평문화로106번길 17,인천광역시 부평구 부평동 548-1,부평5동 행정복지센터,부평5동 행정복지센터,032-509-8340,http://www.icbp.go.kr/dong/index.jsp?dong=bupyeong5,37.493632,126.728314,2023-05-01,3540000,인천광역시 부평구
부평5동 행정복지센터 2층 다목적실,부평5동 행정복지센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,4,50000원,1,10000,40,131,빔프로젝터+단상 1개+의자 40개+ 방송장비,방문,https://www.icbp.go.kr/dong/sub/institution.jsp?dong=bupyeong5,인천광역시 부평구 부평문화로106번길 17,인천광역시 부평구 부평동 548-1,부평5동 행정복지센터,부평5동 행정복지센터,032-509-8340,https://www.icbp.go.kr/dong/index.jsp?dong=bupyeong5,37.493632,126.728314,2023-05-01,3540000,인천광역시 부평구
청천2동 주민자치센터 강의1실,청천2동 행정복지센터,강의실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,4,50000원,,,40,70,책상 15개+의자 50개+화이트보드+앰프+빔프로젝트+유선마이크,방문,https://www.icbp.go.kr/dong/sub/institution.jsp?dong=cheongcheon2,인천광역시 부평구 마장로410번길 5,인천광역시 부평구 청천동 178-43,청천2동 행정복지센터,청천2동 행정복지센터,032-509-8414,https://www.icbp.go.kr/dong/index.jsp?dong=cheongcheon2,37.514871,126.704545,2023-05-01,3540000,인천광역시 부평구
청천2동 주민자치센터 강의2실,청천2동 행정복지센터,강의실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,4,50000원,,,20,36,책상 10개+의자 20개+화이트보드,방문,https://www.icbp.go.kr/dong/sub/institution.jsp?dong=cheongcheon2,인천광역시 부평구 마장로410번길 5,인천광역시 부평구 청천동 178-43,청천2동 행정복지센터,청천2동 행정복지센터,032-509-8414,https://www.icbp.go.kr/dong/index.jsp?dong=cheongcheon2,37.514871,126.704545,2023-05-01,3540000,인천광역시 부평구
부평숲 인천나비공원 전시실,부평숲 인천나비공원,전시실,월+1월1일+설 당일+추석 당일,10:00,18:00,10:00,18:00,N,,,,,60,1281,카페 (매점),인터넷+전화,https://portal.icbp.go.kr/butterflypark/guide/guidemap.asp,인천광역시 부평구 평천로 26-47,인천광역시 부평구 청천동 68-12,인천광역시 부평구청,공원녹지과,032-509-8820,https://portal.icbp.go.kr/butterflypark/,37.520268,126.692725,2023-05-01,3540000,인천광역시 부평구
대월커뮤니티센터 회의실,대월커뮤니티센터,회의실,1월1일+설 당일+추석 당일,09:00,17:00,10:00,15:00,N,,,,,30,64.8,준비실,현장+전화+이메일,,인천광역시 부평구 갈월서로 19,인천광역시 부평구 갈산동 362-3,인천광역시 부평구청,공원녹지과,032-262-9249,www.icbp.go.kr,37.509419,126.722677,2023-05-01,3540000,인천광역시 부평구
